date,load_mw
2018-02-08,41269.625
2018-02-09,41496.708333333336
2018-02-10,38632.125
2018-02-11,36955.291666666664
2018-02-12,41697.375
2018-02-13,42100.708333333336
2018-02-14,42461.041666666664
2018-02-15,40439.041666666664
2018-02-16,40624.916666666664
2018-02-17,37005.833333333336
2018-02-18,36926.375
2018-02-19,39680.583333333336
2018-02-20,38731.833333333336
2018-02-21,40798.041666666664
2018-02-22,41740.125
2018-02-23,42189.375
2018-02-24,38102.75
2018-02-25,38179.333333333336
2018-02-26,43174.5
2018-02-27,42257.666666666664
2018-02-28,42665.041666666664
2018-03-01,45194.666666666664
2018-03-02,45213.041666666664
2018-03-03,41835.375
2018-03-04,39698.208333333336
2018-03-05,42081.916666666664
2018-03-06,41353.416666666664
2018-03-07,41229.916666666664
2018-03-08,40873.875
2018-03-09,40548.625
2018-03-10,36147.416666666664
2018-03-11,34607.791666666664
2018-03-12,39497.958333333336
2018-03-13,39648.375
2018-03-14,38739.833333333336
2018-03-15,38571.083333333336
2018-03-16,37622.083333333336
2018-03-17,37675.666666666664
2018-03-18,39073.25
2018-03-19,42350.25
2018-03-20,41985.583333333336
2018-03-21,39721.291666666664
2018-03-22,37313.083333333336
2018-03-23,36739.583333333336
2018-03-24,35556.0
2018-03-25,33872.333333333336
2018-03-26,37786.875
2018-03-27,38206.333333333336
2018-03-28,39009.958333333336
2018-03-29,38662.0
2018-03-30,35925.0
2018-03-31,34317.833333333336
2018-04-01,34153.166666666664
2018-04-02,34986.958333333336
2018-04-03,37058.958333333336
2018-04-04,37897.291666666664
2018-04-05,37478.833333333336
2018-04-06,36098.291666666664
2018-04-07,33296.541666666664
2018-04-08,32596.5
2018-04-09,36820.666666666664
2018-04-10,37837.0
2018-04-11,37610.041666666664
2018-04-12,38180.375
2018-04-13,37256.833333333336
2018-04-14,33302.083333333336
2018-04-15,32744.125
2018-04-16,35233.416666666664
2018-04-17,34544.208333333336
2018-04-18,34424.25
2018-04-19,33986.5
2018-04-20,33362.041666666664
2018-04-21,30101.583333333332
2018-04-22,29240.875
2018-04-23,32632.166666666668
2018-04-24,34231.708333333336
2018-04-25,34289.166666666664
2018-04-26,33812.708333333336
2018-04-27,35374.791666666664
2018-04-28,32775.125
2018-04-29,31803.75
2018-04-30,35981.25
2018-05-01,35272.291666666664
2018-05-02,35366.291666666664
2018-05-03,35065.416666666664
2018-05-04,33968.208333333336
2018-05-05,30249.375
2018-05-06,28438.916666666668
2018-05-07,29619.791666666668
2018-05-08,33448.041666666664
2018-05-09,33650.541666666664
2018-05-10,33479.208333333336
2018-05-11,32646.375
2018-05-12,31161.958333333332
2018-05-13,30081.208333333332
2018-05-14,32449.75
2018-05-15,32820.583333333336
2018-05-16,32377.208333333332
2018-05-17,33507.833333333336
2018-05-18,32958.875
2018-05-19,29212.916666666668
2018-05-20,28633.083333333332
2018-05-21,33035.25
2018-05-22,32182.0
2018-05-23,33227.541666666664
2018-05-24,33846.916666666664
2018-05-25,33197.958333333336
2018-05-26,28697.125
2018-05-27,27394.166666666668
2018-05-28,28720.416666666668
2018-05-29,31863.166666666668
2018-05-30,32520.458333333332
2018-05-31,32497.083333333332
2018-06-01,32480.791666666668
2018-06-02,29837.916666666668
2018-06-03,29049.0
2018-06-04,33033.666666666664
2018-06-05,32632.166666666668
2018-06-06,32727.375
2018-06-07,32904.666666666664
2018-06-08,32319.583333333332
2018-06-09,29011.0
2018-06-10,28917.458333333332
2018-06-11,32223.0
2018-06-12,32746.833333333332
2018-06-13,32057.458333333332
2018-06-14,30991.166666666668
2018-06-15,31942.208333333332
2018-06-16,29345.833333333332
2018-06-17,28504.625
2018-06-18,31882.75
2018-06-19,32656.583333333332
2018-06-20,31702.625
2018-06-21,31157.291666666668
2018-06-22,31194.666666666668
2018-06-23,28402.708333333332
2018-06-24,27832.25
2018-06-25,32273.666666666668
2018-06-26,32987.75
2018-06-27,32424.083333333332
2018-06-28,31563.625
2018-06-29,31897.125
2018-06-30,29330.083333333332
2018-07-01,29153.5
2018-07-02,32303.125
2018-07-03,32419.041666666668
2018-07-04,32747.416666666668
2018-07-05,33854.25
2018-07-06,32713.333333333332
2018-07-07,30486.958333333332
2018-07-08,29906.458333333332
2018-07-09,33990.916666666664
2018-07-10,33725.583333333336
2018-07-11,33370.583333333336
2018-07-12,33513.208333333336
2018-07-13,32846.0
2018-07-14,30036.333333333332
2018-07-15,29541.541666666668
2018-07-16,33719.875
2018-07-17,33321.625
2018-07-18,33511.5
2018-07-19,33741.666666666664
2018-07-20,32718.333333333332
2018-07-21,29599.583333333332
2018-07-22,29202.166666666668
2018-07-23,33779.333333333336
2018-07-24,33410.958333333336
2018-07-25,33435.833333333336
2018-07-26,33793.0
2018-07-27,32500.833333333332
2018-07-28,26438.083333333332
2018-07-29,26149.916666666668
2018-07-30,31935.833333333332
2018-07-31,32192.25
2018-08-01,31841.625
2018-08-02,32400.375
2018-08-03,31977.333333333332
2018-08-04,29504.791666666668
2018-08-05,28781.333333333332
2018-08-06,31380.791666666668
2018-08-07,31807.541666666668
2018-08-08,32276.166666666668
2018-08-09,32548.083333333332
2018-08-10,31525.625
2018-08-11,29025.458333333332
2018-08-12,28426.541666666668
2018-08-13,32206.833333333332
2018-08-14,32034.166666666668
2018-08-15,32182.125
2018-08-16,32300.125
