,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
155,Yonathan Daza,29,578,Maj-NL,Colorado,22,70,64,7,17,6,0,0,7,3,0,9,1,1,1,5,0,0,0.266,0.304,0.359,0.664,602074
157,Bryan De La Cruz,26,426,Maj-NL,Miami,151,623,576,60,149,32,0,19,78,40,0,140,1,0,5,18,4,1,0.259,0.306,0.413,0.719,650559
158,Elly De La Cruz,21,426,Maj-NL,Cincinnati,98,427,388,67,91,15,7,13,44,35,3,144,2,1,1,6,35,8,0.235,0.301,0.41,0.71,682829
159,Paul DeJong,29,437,"Maj-AL,Maj-NL","San Francisco,St. Louis,Toronto",112,400,372,41,77,13,0,14,38,21,0,121,5,0,2,10,4,4,0.207,0.258,0.355,0.612,657557
160,Jason Delay,28,426,Maj-NL,Pittsburgh,70,187,167,20,42,11,1,1,18,14,0,44,3,2,1,5,0,0,0.252,0.319,0.347,0.666,641511
161,Jonny DeLuca,24,494,Maj-NL,Los Angeles,24,45,42,5,11,1,0,2,6,3,0,8,0,0,0,0,1,0,0.262,0.311,0.429,0.74,676356
162,Rafael Devers,26,426,Maj-AL,Boston,152,651,575,88,155,33,0,33,99,62,10,124,11,0,3,15,5,1,0.27,0.35,0.499,0.849,646240
163,Aledmys D\xc3\xadaz,32,427,Maj-AL,Oakland,108,340,312,25,70,20,1,4,23,16,2,65,7,1,4,14,1,0,0.224,0.274,0.333,0.608,649557
164,Elias D\xc3\xadaz,32,426,Maj-NL,Colorado,139,517,478,48,129,25,1,14,72,33,0,114,2,0,4,12,1,0,0.27,0.317,0.414,0.731,553869
165,Isan D\xc3\xadaz,27,473,"Maj-AL,Maj-NL","Detroit,San Francisco",8,26,24,0,1,0,0,0,1,2,0,9,0,0,0,0,0,0,0.042,0.115,0.042,0.157,656371
166,Jordan Diaz,22,426,Maj-AL,Oakland,90,293,272,20,60,9,0,10,27,17,0,69,3,0,1,10,0,1,0.221,0.273,0.364,0.637,672478
